"台帳ID","管理対象ID","名称","棟名","文化財種類","種別1","種別2","国","時代","重文指定年月日","国宝指定年月日","都道府県","所在地","保管施設の名称","所有者名","管理団体又は責任者","緯度","経度"
"101","00007959","茂木本家住宅南蔵","","登録有形文化財(建造物)","住宅","建築物","","大正","20100115","","千葉県","千葉県野田市清水字谷端1087-1","","","","35.94337276000000","139.86552142000000"
"101","00007969","茂木本家住宅煉瓦塀","","登録有形文化財(建造物)","住宅","その他工作物","","昭和前","20100115","","千葉県","千葉県野田市野田字東下町242-10","","","","35.94355528000000","139.86472944000000"
"101","00001168","茂原昇天教会","","登録有形文化財(建造物)","宗教","建築物","","昭和前","19990708","","千葉県","千葉県茂原市茂原581","","宗教法人日本聖公会横浜教区","","35.42448804000000","140.29724583000000"
"101","00008650","ヤマニ綱島商店店舗","","登録有形文化財(建造物)","産業3次","建築物","","江戸","20110725","","千葉県","千葉県木更津市中央2-1412-1","","","","35.38372825000000","139.92121694000000"
"101","00007017","吉野酒造石塀","","登録有形文化財(建造物)","産業2次","その他工作物","","明治","20080418","","千葉県","千葉県勝浦市植野字腰越571他","","","","35.15387115000000","140.24875789000000"
"101","00007010","吉野酒造煙突","","登録有形文化財(建造物)","産業2次","その他工作物","","明治","20080418","","千葉県","千葉県勝浦市植野字腰越571他","","","","35.15407600000000","140.24865700000000"
"101","00007011","吉野酒造北酒蔵","","登録有形文化財(建造物)","産業2次","建築物","","大正","20080418","","千葉県","千葉県勝浦市植野字腰越571他","","","","35.15441500000000","140.24876400000000"
"101","00007013","吉野酒造北土蔵","","登録有形文化財(建造物)","産業2次","建築物","","明治","20080418","","千葉県","千葉県勝浦市植野字腰越571他","","","","35.15427800000000","140.24833700000000"
"101","00007014","吉野酒造旧馬屋","","登録有形文化財(建造物)","産業2次","建築物","","明治","20080418","","千葉県","千葉県勝浦市植野字腰越571他","","","","35.15453850000000","140.24831650000000"
"101","00007008","吉野酒造店舗兼主屋","","登録有形文化財(建造物)","産業2次","建築物","","明治","20080418","","千葉県","千葉県勝浦市植野字腰越571他","","","","35.15401500000000","140.24850500000000"
"101","00007015","吉野酒造松尾神社","","登録有形文化財(建造物)","産業2次","建築物","","明治","20080418","","千葉県","千葉県勝浦市植野字腰越571他","","","","35.15485569000000","140.24887331000000"
"101","00007012","吉野酒造南蔵","","登録有形文化財(建造物)","産業2次","建築物","","明治","20080418","","千葉県","千葉県勝浦市植野字腰越571他","","","","35.15415000000000","140.24831850000000"
"101","00007009","吉野酒造南酒蔵","","登録有形文化財(建造物)","産業2次","建築物","","明治","20080418","","千葉県","千葉県勝浦市植野字腰越571他","","","","35.15409900000000","140.24881000000000"
"101","00007016","吉野酒造門","","登録有形文化財(建造物)","産業2次","その他工作物","","昭和中","20080418","","千葉県","千葉県勝浦市植野字腰越571他","","","","35.15385623000000","140.24868915000000"
"101","00003393","旅館松の家","","登録有形文化財(建造物)","産業3次","建築物","","昭和前","20030701","","千葉県","千葉県勝浦市勝浦30","","","","35.14819062000000","140.31598217000000"
